Station,Long,Lat,Survey
WAL,-121.663546,38.722062,CDFW Fish Rescues
AM001S,-121.506,38.59936,DJFMP
LI001E,-121.682,38.24197,DJFMP
LI001W,-121.694,38.27744,DJFMP
LI002E,-121.678,38.24636,DJFMP
LI002W,-121.691,38.26929,DJFMP
LI003E,-121.672,38.25504,DJFMP
LI003W,-121.69,38.25789,DJFMP
LI004E,-121.672,38.26514,DJFMP
LI004W,-121.686,38.25268,DJFMP
LI005E,-121.667,38.27378,DJFMP
LI005W,-121.686,38.24461,DJFMP
LI006E,-121.666,38.27743,DJFMP
LI006W,-121.692,38.28223,DJFMP
LI007E,-121.666,38.284,DJFMP
LI007W,-121.687,38.2825,DJFMP
LI008E,-121.667,38.28931,DJFMP
LI008W,-121.692,38.28755,DJFMP
LI009E,-121.668,38.29832,DJFMP
LI009W,-121.692,38.2915,DJFMP
LI010E,-121.668,38.30256,DJFMP
LI010W,-121.691,38.30219,DJFMP
LI011E,-121.668,38.3136,DJFMP
MS001N,-121.786,38.05604,DJFMP
SR012E,-121.687,38.13272,DJFMP
SR012W,-121.695,38.13929,DJFMP
SR014W,-121.663,38.18652,DJFMP
SR017E,-121.612,38.16273,DJFMP
SR024E,-121.555,38.24039,DJFMP
SR043W,-121.521,38.38305,DJFMP
SR049E,-121.543,38.47805,DJFMP
SR060E,-121.509,38.60054,DJFMP
SS011N,-121.575,38.30472,DJFMP
17-49-CS01,-121.641,38.34999,EDSM
18-03-CS01,-121.666,38.26193,EDSM
18-04-RV01,-121.677,38.16359,EDSM
18-04-SRR01,-121.661,38.17667,EDSM
18-18-SSC02,-121.578,38.55313,EDSM
18-19-CS01,-121.656,38.31155,EDSM
18-19-CS02,-121.757,38.26006,EDSM
18-20-CS04,-121.701,38.26843,EDSM
18-20-LSSC01,-121.67,38.24391,EDSM
18-20-RV01,-121.732,38.09531,EDSM
18-20-RV02,-121.686,38.09367,EDSM
18-20-SRR01,-121.648,38.17227,EDSM
18-20-SRR02,-121.579,38.1891,EDSM
18-20-USSC01,-121.571,38.55746,EDSM
18-20-USSC02,-121.584,38.53298,EDSM
18-21-CS01,-121.67,38.26019,EDSM
18-24-CS01,-121.681,38.23431,EDSM
18-24-CS02,-121.674,38.25022,EDSM
18-24-CS03,-121.718,38.28604,EDSM
18-24-LSSC01,-121.671,38.24684,EDSM
18-24-RV01,-121.699,38.11283,EDSM
18-24-RV02,-121.686,38.14369,EDSM
18-24-SRU01,-121.527,38.42244,EDSM
18-24-SRU02,-121.502,38.45411,EDSM
18-24-USSC01,-121.584,38.50267,EDSM
18-24-USSC02,-121.585,38.53764,EDSM
18-26-CS02,-121.696,38.24471,EDSM
18-26-CS03,-121.671,38.25888,EDSM
18-26-LSSC01,-121.608,38.42112,EDSM
18-26-LSSC02,-121.672,38.22096,EDSM
18-26-RV01,-121.677,38.16598,EDSM
18-26-RV02,-121.664,38.17676,EDSM
18-26-SRR01,-121.556,38.19038,EDSM
18-26-SRU01,-121.599,38.30553,EDSM
18-26-USSC01,-121.548,38.56274,EDSM
18-27-CS01,-121.73,38.2993,EDSM
18-27-CS02,-121.738,38.25766,EDSM
18-27-CS03,-121.702,38.24687,EDSM
