Station,StationName,Contact,Program,Email,IncludedInDataset,SensorStatus,PositionOfSensorMeasurement,PositionOfSensorAttachment,DistanceFromSensorAttachmentPoint,SensorDepth,ChangesSensorDeployment,InstrumentManufacturer,InstrumentModel,CDECUnits,CDECPrecision,SensorAccuracy,BackupSensor,DataTreated,DataTreatmentDescription,DistanceFromShore,Comments,AdditionalDataSource,StationNumber,StartDateAdditionalData,EndDateAdditionalData
ANC,ANTIOCH (USBR),Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Discontinued,NA,NA,NA,NA,N,Hach,MS5,F,0.1,0.1,Y,Y,Treated from 3/2016 till decommission. We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages on 3/10/2016,60,NA,NA,NA,NA,NA
CCS,CACHE SLOUGH,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Discontinued,NA,NA,NA,NA,NA,Hach,NA,F,0.1,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA
CLL,COLLINSVILLE,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Active,Surface,Bottom,4.6,NA,N,Hach,"MS5 (until 2019), HL4 (From late 2019 forward)",F,0.1,0.1,Y,Y,We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages on 2/9/2016,54,Site changed from single sonde deployment to two sonde deployment on 2/23/1999,NA,NA,NA,NA
CLL- Bottom Sensor,COLLINSVILLE,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,N,Active,Bottom,Bottom,0.61,NA,N,Hach,"MS5 (until 2019), HL4 (From late 2019 forward)",NA,0.1,0.1,NA,Y,We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages on 2/9/2017,54,Site changed from single sonde deployment to two sonde deployment on 2/23/2000,NA,NA,NA,NA
CNT,CONTRA COSTA,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Active,NA,NA,NA,NA,N,Hach,"MS5 (Until 2019), HL4 (From late 2019 forward)",F,0.1,0.1,N,Y,We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages on 2/9/2016,1,The Aqueduct originates from Rock Slough a tidally influenced river channel mainly freshwater,NA,NA,NA,NA
DMC,DMC HEADWORKS,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Active,NA,NA,NA,NA,N,Hach,"MS5 (Until 2019), HL4 (From late 2019 forward)",F,0.1,0.1,N,Y,We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages on 2/8/2016,1,Delta Mendota Canal ,NA,NA,NA,NA
EMM,EMMATON (USBR),Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Active,Surface,Surface,4.6,NA,Y,Hach,"MS5 (Until 2019), HL4 (From late 2019 forward)",F,0.1,0.1,Y,Y,We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages on 3/4/2016,25,Site changed from single sonde deployment to two sonde deployment on 2/23/1999,NA,NA,NA,NA
EMM- Bottom Sensor,EMMATON (USBR),Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,N,Active,Bottom,Surface,7,NA,Y,Hach,"MS5 (Until 2019), HL4 (From late 2019 forward)",NA,0.1,0.1,NA,Y,We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages on 3/4/2017,25,Site changed from single sonde deployment to two sonde deployment on 2/23/2000,NA,NA,NA,NA
FRP,FARRAR PARK,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Active,Bottom,Bottom,1.2,NA,N,Hach,"MS5 (until 2019), HL4 (From late 2019 forward)",F,0.1,0.1,N,Y,We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages on 3/4/2016,18,NA,NA,NA,NA,NA
GLN,GREEN'S LANDING,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Discontinued,NA,NA,NA,NA,NA,Hach,NA,F,0.1,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA
